lon,lat,next_t_ecl,next_t_ecl2
-125,24,10188446416.467073,2292-11-09
-124,24,8690768058.64074,2245-05-26
-123,24,8690768045.057148,2245-05-26
-122,24,10231885704.883905,2294-03-27
-121,24,10231885710.854383,2294-03-27
-120,24,10231885718.805094,2294-03-27
-119,24,12673560409.334192,2371-08-11
-118,24,12673560532.948408,2371-08-11
-117,24,10142578148.554422,2291-05-28
-116,24,8001935705.166958,2223-07-28
-115,24,8001935748.663805,2223-07-28
-114,24,8001935789.722243,2223-07-28
-113,24,7177826879.27747,2197-06-15
-112,24,7177827001.055445,2197-06-15
-111,24,7267069586.778411,2200-04-14
-110,24,12058730003.202202,2352-02-16
-109,24,2715292425.5137997,2056-01-16
-108,24,2715292459.538077,2056-01-16
-107,24,2715292491.13179,2056-01-16
-106,24,1712599912.722467,2024-04-08
-105,24,1712600010.4390965,2024-04-08
-104,24,5111134515.760241,2131-12-19
-103,24,5111134594.30228,2131-12-19
-102,24,5111134676.618954,2131-12-19
-101,24,2595436607.3193893,2052-03-30
-100,24,2595436748.5876637,2052-03-30
-99,24,2595436890.406971,2052-03-30
-98,24,14291223158.490784,2422-11-14
-97,24,14291223290.952707,2422-11-14
-96,24,3210250891.9793396,2071-09-23
-95,24,3210251013.5614605,2071-09-23
-94,24,3210251137.144536,2071-09-23
-93,24,12058731417.28574,2352-02-16
-92,24,7057831959.151013,2193-08-26
-91,24,9213860911.024645,2261-12-22
-90,24,3404217295.6454916,2077-11-15
-89,24,3404217398.8469033,2077-11-15
-88,24,3404217505.0013065,2077-11-15
-87,24,8524976494.759789,2240-02-23
-86,24,8524976674.978526,2240-02-23
-85,24,8524976855.526169,2240-02-23
-84,24,8524977036.127965,2240-02-23
-83,24,8524977216.521475,2240-02-23
-82,24,10188452324.585823,2292-11-09
-81,24,10188452378.34389,2292-11-09
-80,24,10188452428.820984,2292-11-09
-79,24,7522223124.379219,2208-05-15
-78,24,2386172757.9733057,2045-08-12
-77,24,2386172867.922619,2045-08-12
-76,24,2386172976.040962,2045-08-12
-75,24,2386173082.336141,2045-08-12
-74,24,11280510779.540625,2327-06-20
-73,24,11280510783.889626,2327-06-20
-72,24,5800006258.196918,2153-10-17
-71,24,5800006368.605693,2153-10-17
-70,24,9918093447.925226,2284-04-16
-69,24,23754519224.286816,2722-10-02
-68,24,5126432005.674331,2132-06-13
