lon,lat,next_t_ecl
-124,25,-999999
-123.5,25,NA
-123,25,-999999
-122.5,25,NA
-122,25,-999999
-121.5,25,NA
-121,25,-999999
-120.5,25,NA
-120,25,-999999
-119.5,25,NA
-119,25,-999999
-118.5,25,NA
-118,25,-999999
-117.5,25,NA
-117,25,-999999
-116.5,25,NA
-116,25,-999999
-115.5,25,NA
-115,25,-999999
-114.5,25,NA
-114,25,-999999
-113.5,25,NA
-113,25,-999999
-112.5,25,NA
-112,25,-999999
-111.5,25,NA
-111,25,-999999
-110.5,25,NA
-110,25,-999999
-109.5,25,NA
-109,25,-999999
-108.5,25,NA
-108,25,-999999
-107.5,25,NA
-107,25,-999999
-106.5,25,NA
-106,25,-999999
-105.5,25,NA
-105,25,-999999
-104.5,25,NA
-104,25,-999999
-103.5,25,NA
-103,25,-999999
-102.5,25,NA
-102,25,-999999
-101.5,25,NA
-101,25,-999999
-100.5,25,NA
-100,25,-999999
-99.5,25,NA
-99,25,-999999
-98.5,25,NA
-98,25,-999999
-97.5,25,NA
-97,25,-999999
-96.5,25,NA
-96,25,-999999
-95.5,25,NA
-95,25,-999999
-94.5,25,NA
-94,25,-999999
-93.5,25,NA
-93,25,-999999
-92.5,25,NA
-92,25,-999999
-91.5,25,NA
-91,25,-999999
-90.5,25,NA
-90,25,-999999
-89.5,25,NA
-89,25,-999999
-88.5,25,NA
-88,25,-999999
-87.5,25,NA
-87,25,98668
-86.5,25,NA
-86,25,98668
-85.5,25,NA
-85,25,98668
-84.5,25,NA
-84,25,98668
-83.5,25,NA
-83,25,98668
-82.5,25,NA
-82,25,98668
-81.5,25,NA
-81,25,98668
-80.5,25,NA
-80,25,-999999
-79.5,25,NA
-79,25,-999999
-78.5,25,NA
-78,25,-999999
-77.5,25,NA
-77,25,-999999
-76.5,25,NA
-76,25,-999999
-75.5,25,NA
-75,25,-999999
-74.5,25,NA
-74,25,-999999
-73.5,25,NA
-73,25,-999999
-72.5,25,NA
-72,25,-999999
-71.5,25,NA
-71,25,-999999
-70.5,25,NA
-70,25,-999999
-69.5,25,NA
-69,25,-999999
-68.5,25,NA
-68,25,-999999
-67.5,25,NA
-67,25,-999999
-124,25.5,NA
-123.5,25.5,NA
-123,25.5,NA
-122.5,25.5,NA
-122,25.5,NA
-121.5,25.5,NA
-121,25.5,NA
-120.5,25.5,NA
-120,25.5,NA
-119.5,25.5,NA
-119,25.5,NA
-118.5,25.5,NA
-118,25.5,NA
-117.5,25.5,NA
-117,25.5,NA
-116.5,25.5,NA
-116,25.5,NA
-115.5,25.5,NA
-115,25.5,NA
-114.5,25.5,NA
-114,25.5,NA
-113.5,25.5,NA
-113,25.5,NA
-112.5,25.5,NA
-112,25.5,NA
-111.5,25.5,NA
-111,25.5,NA
-110.5,25.5,NA
-110,25.5,NA
-109.5,25.5,NA
-109,25.5,NA
-108.5,25.5,NA
-108,25.5,NA
-107.5,25.5,NA
-107,25.5,NA
-106.5,25.5,NA
-106,25.5,NA
-105.5,25.5,NA
-105,25.5,NA
-104.5,25.5,NA
-104,25.5,NA
-103.5,25.5,NA
-103,25.5,NA
-102.5,25.5,NA
-102,25.5,NA
-101.5,25.5,NA
-101,25.5,NA
-100.5,25.5,NA
-100,25.5,NA
-99.5,25.5,NA
-99,25.5,NA
-98.5,25.5,NA
-98,25.5,NA
-97.5,25.5,NA
-97,25.5,NA
-96.5,25.5,NA
-96,25.5,NA
-95.5,25.5,NA
-95,25.5,NA
-94.5,25.5,NA
-94,25.5,NA
-93.5,25.5,NA
-93,25.5,NA
-92.5,25.5,NA
-92,25.5,NA
-91.5,25.5,NA
-91,25.5,NA
-90.5,25.5,NA
-90,25.5,NA
-89.5,25.5,NA
-89,25.5,NA
-88.5,25.5,NA
-88,25.5,NA
-87.5,25.5,NA
-87,25.5,NA
-86.5,25.5,NA
-86,25.5,NA
-85.5,25.5,NA
-85,25.5,NA
-84.5,25.5,NA
-84,25.5,NA
-83.5,25.5,NA
-83,25.5,NA
-82.5,25.5,NA
-82,25.5,NA
-81.5,25.5,NA
-81,25.5,NA
-80.5,25.5,NA
-80,25.5,NA
-79.5,25.5,NA
-79,25.5,NA
-78.5,25.5,NA
-78,25.5,NA
-77.5,25.5,NA
-77,25.5,NA
-76.5,25.5,NA
-76,25.5,NA
-75.5,25.5,NA
-75,25.5,NA
-74.5,25.5,NA
-74,25.5,NA
-73.5,25.5,NA
-73,25.5,NA
-72.5,25.5,NA
-72,25.5,NA
-71.5,25.5,NA
-71,25.5,NA
-70.5,25.5,NA
-70,25.5,NA
-69.5,25.5,NA
-69,25.5,NA
-68.5,25.5,NA
-68,25.5,NA
-67.5,25.5,NA
-67,25.5,NA
-124,26,-999999
-123.5,26,NA
-123,26,-999999
-122.5,26,NA
-122,26,-999999
-121.5,26,NA
-121,26,-999999
-120.5,26,NA
-120,26,-999999
-119.5,26,NA
-119,26,-999999
-118.5,26,NA
-118,26,-999999
-117.5,26,NA
-117,26,-999999
-116.5,26,NA
-116,26,-999999
-115.5,26,NA
-115,26,-999999
-114.5,26,NA
-114,26,-999999
-113.5,26,NA
-113,26,-999999
-112.5,26,NA
-112,26,-999999
-111.5,26,NA
-111,26,-999999
-110.5,26,NA
-110,26,-999999
-109.5,26,NA
-109,26,-999999
-108.5,26,NA
-108,26,-999999
-107.5,26,NA
-107,26,-999999
-106.5,26,NA
-106,26,59156
-105.5,26,NA
-105,26,31426
-104.5,26,NA
-104,26,19821
-103.5,26,NA
-103,26,19821
-102.5,26,NA
-102,26,31426
-101.5,26,NA
-101,26,37155
-100.5,26,NA
-100,26,37155
-99.5,26,NA
-99,26,37155
-98.5,26,NA
-98,26,39577
-97.5,26,NA
-97,26,30039
-96.5,26,NA
-96,26,30039
-95.5,26,NA
-95,26,30039
-94.5,26,NA
-94,26,81687
-93.5,26,NA
-93,26,-999999
-92.5,26,NA
-92,26,-999999
-91.5,26,NA
-91,26,-999999
-90.5,26,NA
-90,26,-999999
-89.5,26,NA
-89,26,-999999
-88.5,26,NA
-88,26,-999999
-87.5,26,NA
